gtfs_id,structure,north_direction_label,south_direction_label,full_time_crossover?,part_time_crossover?,mezzanine?,underpass?,overpass?
101,Elevated,Last Stop,Manhattan,true,false,false,false,false
103,Elevated,Van Cortlandt,Manhattan,false,false,false,false,false
104,Elevated,Van Cortlandt,Manhattan,false,false,false,false,false
106,Elevated,The Bronx,Downtown,false,false,false,false,false
107,Elevated,The Bronx,Downtown,false,false,false,false,false
108,Elevated,The Bronx,Downtown,false,false,false,false,false
109,Elevated,The Bronx,Downtown,true,false,false,false,false
110,Subway,The Bronx,Downtown,true,false,true,false,false
111,Subway,The Bronx,Downtown,true,false,true,false,true
112,Subway,Uptown,Downtown,true,false,true,false,false
113,Subway,Uptown,Downtown,false,false,false,false,false
114,Subway,Uptown,Downtown,false,false,false,false,false
115,Subway,Uptown,Downtown,false,false,false,false,false
116,Elevated,Uptown,Downtown,true,false,false,false,false
117,Subway,Uptown,Downtown,true,false,true,false,false
118,Subway,Uptown,Downtown,false,false,false,false,false
119,Subway,Uptown,Downtown,true,false,true,false,false
120,Subway,Uptown,Downtown,true,false,true,true,false
121,Subway,Uptown,Downtown,false,true,false,false,false
122,Subway,Uptown,Downtown,false,true,false,false,false
123,Subway,Uptown,Downtown,true,false,false,false,false
124,Subway,Uptown,Downtown,true,false,false,true,false
125,Subway,Uptown,Downtown,true,false,true,true,false
126,Subway,Uptown,Downtown,false,true,false,false,false
127,Subway,Uptown,Downtown,true,false,true,false,false
128,Subway,Uptown,Downtown,true,false,false,true,false
129,Subway,Uptown,Downtown,false,true,false,false,false
130,Subway,Uptown,Downtown,false,true,false,false,false
131,Subway,Uptown,Downtown,false,true,false,false,false
132,Subway,Uptown,Downtown,true,false,true,false,true
133,Subway,Uptown,Downtown,false,true,false,false,false
134,Subway,Uptown,Downtown,false,true,false,false,false
135,Subway,Uptown,Downtown,false,true,false,false,false
136,Subway,Uptown,Downtown,false,true,false,false,false
137,Subway,Uptown,Downtown,true,false,true,false,false
138,Subway,Uptown,Downtown,true,false,true,false,false
139,Subway,Uptown,Downtown,false,false,false,false,false
142,Subway,Uptown,Last Stop,true,false,true,false,false
201,Elevated,Last Stop,Manhattan,true,false,false,false,false
204,Elevated,Northbound,Manhattan,true,false,false,false,false
205,Elevated,Northbound,Manhattan,true,false,true,false,false
206,Elevated,Northbound,Manhattan,true,false,false,false,false
207,Elevated,Northbound,Manhattan,true,false,false,false,false
208,Elevated,Northbound,Manhattan,true,false,true,false,false
209,Elevated,Northbound,Manhattan,true,false,false,false,false
210,Elevated,Northbound,Manhattan,true,false,false,false,false
211,Elevated,Northbound,Manhattan,true,false,true,false,false
212,Elevated,Northbound,Manhattan,true,false,true,false,false
213,Elevated,Northbound,Manhattan,true,false,false,false,false
214,Elevated,Northbound,Manhattan,true,false,true,false,false
215,Elevated,Northbound,Manhattan,false,false,false,false,false
216,Elevated,Northbound,Manhattan,false,false,false,false,false
217,Elevated,Northbound,Manhattan,false,false,false,false,false
218,Elevated,Northbound,Manhattan,true,false,true,false,false
219,Elevated,Northbound,Manhattan,false,false,false,false,false
220,Elevated,Northbound,Manhattan,false,false,false,false,false
221,Subway,Northbound,Manhattan,false,false,false,false,false
222,Subway,Northbound,Manhattan,true,false,true,false,false
224,Subway,Uptown,Downtown,false,false,false,false,false
225,Subway,Uptown,Downtown,false,false,false,false,false
226,Subway,Uptown,Downtown,false,false,false,false,false
227,Subway,Uptown,Downtown,true,false,true,false,false
228,Subway,Uptown,Brooklyn,true,false,true,false,false
229,Subway,Uptown,Brooklyn,true,false,true,false,false
